,genre
0,pop
1,dance pop
2,rap
3,rock
4,hip hop
5,trap 
6,latino
7,uk pop
8,pop rap
9,reggaeton
10,modern rock
11,latin pop
12,pop dance
13,edm
14,musica mexicana
15,classic rock
16,r&b
17,tropical house
18,permanent wave
19,post-teen pop
20,pop rock
21,mellow gold
22,electropop
23,soft rock
24,alternative metal
25,k-pop
26,country
27,contemporary country
28,album rock
29,nueva musica mexicana
30,southern hip hop
31,canadian pop
32,desi pop
33,filmi
34,hard rock
35,alternative rock
36,urban contemporary
37,electro house
38,melodic rap
39,nu metal
40,indie pop
41,ranchera
42,neo mellow
43,latin hip hop
44,gangster rap
45,rock en espanol
46,modern bollywood
47,country road
48,tropical
49,art pop
50,alt z
51,singer-songwriter
52,corrido
53,atl hip hop
54,new wave pop
55,french hip hop
56,underground hip hop
57,latin alternative
58,german hip hop
59,norteno
60,folk rockcountry rock
61,pop urbaine
62,latin rock
63,mexican pop
64,colombian pop
65,arrocha
66,reggaeton colombiano
67,viral rap
68,indie rock
69,art rock
70,metal
71,house
72,j-pop
73,chicago rap
74,k-pop boy group
75,soul
76,adult standards
77,sertanejo universitario
78,latin arena pop
79,hip pop
80,sertanejo
81,europop
82,neo soul
83,funk carioca
84,viral pop
85,post-grunge
86,sertanejo pop
87,new wave
88,modern alternative rock
89,reggaeton flow
90,k-pop girl group
91,pop punk
92,canadian hip hop
93,indie folk
94,sierreno
95,conscious hip hop
96,canadian contemporary r&b
97,stomp and holler
98,blues rock
99,banda
100,indonesian pop
101,australian pop
102,trap argentino
103,italian hip hop
104,corridos tumbados
105,spanish pop
106,toronto rap
107,disco
108,east coast hip hop
109,rap metal
110,new romantic
111,bedroom pop
112,miami hip hop
113,piano rock
114,funk
115,psychedelic rock
116,quiet storm
117,dark trap
118,boy band
119,desi hip hop
120,francoton
121,uk dance
122,indie poptimism
123,west coast rap
124,emo rap
125,glam rock
126,pop edm
127,slap house
128,indietronica
129,rap francais
130,progressive house
131,argentine rock
132,hoerspiel
133,turkish pop
134,metalcore
135,indie soul
136,punk
137,electronica
138,alternative r&b
139,argentine hip hop
140,rap rock
141,metropopolis
142,german pop
143,brill building pop
144,punjabi pop
145,mpb
146,puerto rican pop
147,urbano espanol
148,vapor trap
149,ccm
150,opm
151,alternative hip hop
152,italian pop
153,drift phonk
154,big room
155,hardcore hip hop
156,swedish pop
157,pluggnb
158,folk
159,sad rap
160,synthpop
161,mexican hip hop
162,heartland rock
163,escape room
164,roots rock
165,anime
166,chill r&b
167,detroit hip hop
168,folk-pop
169,progressive electro house
170,garage rock
171,polish hip hop
172,christian music
173,talent show
174,glam metal
175,lgbtq+ hip hop
176,hollywood
177,dance rock
178,uk hip hop
179,classical
180,worship
181,sleep
182,nigerian pop
183,british soul
184,tamil pop
185,yacht rock
186,pop nacional
187,contemporary r&b
188,pagode
189,italian adult pop
190,lounge
191,indie r&b
192,mariachi
193,grupera
194,alternative dance
195,j-rock
196,lo-fi beats
197,rock-and-roll
198,dirty south rap
199,soundtrack
200,funk metal
201,trap italiana
202,brazilian rock
203,queens hip hop
204,trap triste
205,world worship
206,dream pop
207,salsa
208,rap conscient
209,pop venezolano
210,french pop
211,pop r&b
212,cali rap
213,vocal jazz
214,modern country rock
215,trap queen
216,new americana
217,gen z singer-songwriter
218,mexican rock
219,christian alternative rock
220,cantautor
221,classic soul
222,eurodance
223,grunge
224,dfw rap
225,bolero
226,beatlesque
227,emo
228,mandopop
229,melancholia
230,british invasion
231,brooklyn drill
232,country pop
233,sad lo-fi
234,g funk
235,melodic metalcore
236,bachata
237,r&b en espanol
238,brostep
239,otacore
240,pop soul
241,new french touch
242,russian hip hop
243,outlaw country
244,melodic drill
245,symphonic rock
246,memphis hip hop
247,kleine hoerspiel
248,orchestral soundtrack
249,urbano chileno
250,turkish trap
251,bubblegum pop
252,florida rap
253,industrial metal
254,pop reggaeton
255,afrofuturism
256,new orleans rap
257,funk rock
258,turkish hip hop
259,funk mtg
260,turkish rock
261,aesthetic rap
262,baroque pop
263,japanese teen pop
264,sheffield indie
265,dancehall
266,new rave
267,forro
268,german trap
269,brazilian hip hop
270,dutch pop
271,rockabilly
272,progressive rock
273,chanson
274,screamo
275,texas country
276,australian dance
277,funk ostentacao
278,classic bollywood
279,trance
280,turkish trap pop
281,german rock
282,britpop
283,shimmer pop
284,country dawn
285,electronic trap
286,gruperas inmortales
287,acoustic pop
288,girl group
289,trap brasileiro
290,australian rock
291,show tunes
292,plugg
293,brazilian gospel
294,north carolina hip hop
295,dutch hip hop
296,dominican pop
297,power metal
298,modern blues rock
299,polish trap
300,modern indie pop
301,atl trap
302,nova mpb
303,reggae fusion
304,ohio hip hop
305,pittsburgh rap
306,norwegian pop
307,la indie
308,nyc rap
309,candy pop
310,social media pop
311,old school thrash
312,deep house
313,barbadian pop
314,pop argentino
315,downtempo
316,compositional ambient
317,trap boricua
318,lilith
319,indiecoustica
320,lo-fi chill
321,bossa nova
322,video game music
323,spanish hip hop
324,j-poprock
325,canadian rock
326,oklahoma country
327,thrash metal
328,anime rock
329,neo-psychedelic
330,children's music
331,sophisti-pop
332,hip house
333,classic uk pop
334,instrumental lullaby
335,industrial rock
336,deep groove house
337,merseybeat
338,reggae
339,rock nacional
340,dutch edm
341,punjabi hip hop
342,hyperpop
343,skate punk
344,dream smp
345,afropop
346,latin viral pop
347,adoracao
348,neo-classical
349,rain
350,pixie
351,covertronica
352,shoegaze
353,roots reggae
